DELL	83.87	84.75	82.50	82.81	48736000	10.35	872578860000
DITC	1.56	1.69	1.53	1.60	133600	1.60	1035442860000
DLIA	1.91	2.31	1.91	2.23	760800	2.23	1201507260000
DWCH	3.09	3.14	3.09	3.14	2400	1.57	1026284460000
DYNT	0.31	0.31	0.29	0.30	26900	0.30	1230537660000
DMLP	17.65	17.94	17.58	17.59	4800	9.73	1066719660000
DORM	7.88	7.88	7.63	7.75	7400	3.87	855302460000
DXPE	5.19	5.24	5.00	5.00	7600	2.50	1098687660000
DEST	4.55	5.03	4.55	5.03	6800	5.03	1237273260000
DBRN	8.88	9.25	8.75	8.88	84800	2.22	694339260000
DXYN	6.38	6.44	6.19	6.25	211100	6.25	911980860000
DEAR	10.50	11.50	10.50	10.50	5800	6.45	913104060000
DCOM	27.50	27.62	27.14	27.62	29400	5.47	896425260000
DYNT	1.07	1.10	1.06	1.10	11300	1.10	1174374060000
DFZ	6.60	6.63	6.60	6.62	26500	6.58	1248073260000
DUCK	14.85	14.95	14.76	14.76	5200	14.76	1067587260000
DAIO	6.25	6.38	5.87	6.13	36900	6.13	829810860000
DNDN	29.01	29.55	28.64	28.89	1371400	28.89	1265616060000
DDDC	0.40	0.41	0.38	0.40	32100	0.40	1256108460000
DWSN	14.99	15.65	14.75	15.45	117500	15.45	1086073260000
DDRX	0.45	0.45	0.30	0.35	42000	0.35	1234339260000
DISH	33.19	34.75	32.52	32.94	4127200	28.77	979718460000
DUSA	7.56	8.38	7.44	8.25	178100	8.25	875516460000
DARA	8.25	8.25	7.63	7.87	700	3150.00	805705260000
DBRN	15.12	15.38	15.00	15.00	358400	3.75	749977260000
DORM	7.63	7.88	7.25	7.88	24400	3.94	676278060000
DNDN	4.01	4.15	3.90	4.00	103900	4.00	1038988860000
DINE	11.33	11.82	11.33	11.70	200	293.51	779094060000
DGII	20.75	20.75	20.50	20.75	58800	20.75	801990060000
DMAN	8.43	8.50	8.30	8.48	52200	8.48	1262073660000
DXCM	7.52	7.68	7.26	7.37	133900	7.37	1204272060000
DBRN	13.01	13.22	12.97	13.00	138600	6.50	1044604860000
DDMX	4.87	5.15	4.87	5.10	39000	5.10	1049270460000
DHIL	10.50	10.63	10.00	10.63	6800	45.77	902905260000
DELL	31.71	32.01	31.16	31.92	18678500	31.92	1057042860000
DENN	0.67	0.68	0.67	0.67	13600	0.67	1005206460000
DMLP	17.75	17.75	17.75	17.75	2300	9.82	1066287660000
DYNT	0.84	0.88	0.84	0.84	38500	0.84	833526060000
DTLK	9.03	9.50	9.00	9.18	665000	9.18	1158044460000
DRCO	7.67	7.92	7.67	7.92	16300	6.53	581670060000
DSPG	16.04	16.23	15.86	15.93	184000	15.93	1044518460000
DNBF	16.12	16.12	16.12	16.12	000	9.13	970729260000
DRAM	5.88	6.13	5.88	6.13	76800	1.75	719046060000
DECK	14.25	14.25	13.00	14.00	5100	14.00	771577260000
DGAS	15.63	15.63	15.13	15.13	2300	5.54	708159660000
DECK	6.25	6.75	6.25	6.50	9600	6.50	829897260000
DASTY	40.00	40.00	39.62	39.81	13600	36.33	942134460000
DGIT	19.71	20.43	19.50	19.78	501000	19.78	1243580460000
DEAR	28.41	30.00	28.40	29.81	22500	24.52	1101283260000
DGAS	18.81	18.94	18.81	18.81	3100	12.09	984038460000
DENN	9.00	9.00	8.75	9.00	61600	9.00	894524460000
DMLP	19.41	19.75	19.35	19.49	11300	11.78	1091602860000
DGICB	18.96	19.25	18.96	19.01	3100	9.49	1076313660000
DDRX	3.75	3.89	3.70	3.81	2800	3.81	1187679660000
DCAI	12.29	12.30	12.05	12.07	10300	12.07	1177398060000
DGICA	14.85	14.85	14.27	14.65	28800	14.54	1257321660000
DGAS	16.87	17.00	16.75	16.75	3100	9.52	929602860000
DISK	7.88	7.88	7.50	7.50	71900	7.50	820224060000
DRAM	6.37	6.37	6.25	6.37	28500	1.82	788169660000
DINE	4.25	4.75	4.19	4.69	25200	11.93	948355260000
DGICB	16.25	16.50	16.25	16.25	32300	3.53	807778860000
DCAI	4.25	4.88	4.25	4.88	22400	2.44	839487660000
DCGN	10.03	10.41	9.71	9.71	584800	9.71	1082444460000
DAIO	3.00	3.13	3.00	3.00	15900	3.00	742028460000
DLPX	5.38	5.38	5.19	5.19	6100	5.19	948700860000
DNEX	57.38	58.25	57.38	58.00	26800	29.00	887961660000
DAIO	1.81	1.81	1.81	1.81	6000	1.81	985939260000
DTSI	18.56	18.80	17.92	18.74	170000	18.74	1145430060000
DMAN	18.09	18.09	17.10	17.25	90400	17.25	1192086060000
DAIO	2.84	3.00	2.55	2.56	17800	2.56	1083308460000
DBTK	10.36	10.43	10.25	10.29	95500	10.29	1263542460000
DELL	23.62	23.96	23.59	23.85	16038700	23.85	1170921660000
DSWL	6.70	6.70	6.40	6.45	16100	5.67	1214377260000
DINE	7.97	7.97	7.70	7.78	64300	19.99	1089615660000
DELL	8.38	8.75	8.00	8.25	45465600	0.09	588322860000
DIGA	1.70	1.73	1.66	1.70	14600	13.60	1157698860000
DINE	5.22	5.34	5.22	5.22	7500	13.19	855129660000
DRAM	2.49	2.49	2.45	2.45	1100	2.10	1046764860000
DGII	8.62	8.62	8.38	8.62	35700	8.62	855302460000
DLLR	25.95	25.97	25.53	25.83	233200	25.83	1175670060000
DRAM	4.04	4.04	3.89	4.00	9400	3.43	1067328060000
DELL	30.99	31.01	30.13	30.38	68759800	30.38	1140163260000
DYAX	12.41	12.41	12.00	12.23	37200	12.23	997340460000
DMAN	7.41	7.50	7.32	7.44	46400	7.44	1242198060000
DLTR	41.77	42.10	41.02	41.20	1312400	41.20	1190617260000
DAVE	14.48	14.65	14.46	14.50	40200	14.50	1160377260000
DEAR	1.92	1.93	1.92	1.93	900	1.93	1245308460000
DEPO	7.44	7.88	6.88	7.44	197500	7.44	885542460000
DMAN	7.10	7.10	6.93	6.96	47400	6.96	1240556460000
DANKY	0.59	0.60	0.55	0.55	146700	0.55	1001660460000
DSWL	10.96	11.44	10.60	10.60	30600	2.49	913104060000
DNBK	12.19	12.50	12.19	12.31	132300	12.26	1236582060000
DAIO	2.56	2.75	2.50	2.50	81900	2.50	904633260000
DGAS	23.00	23.70	23.00	23.70	1000	23.12	1247036460000
DBLE	12.00	12.20	11.63	12.20	42100	12.20	1063004460000
DNDN	6.32	6.80	6.30	6.78	1200000	6.78	1130223660000
DPTR	27.45	27.75	26.70	26.92	897800	26.92	1213858860000
DGICB	7.75	8.25	7.75	8.25	900	1.60	639730860000
DEAR	23.00	23.00	22.75	22.75	200	17.83	1080201660000
DNBF	21.00	21.00	21.00	21.00	100	17.22	1162540860000
DANKY	2.25	2.42	2.24	2.42	417200	2.42	1015488060000
DYNT	1.99	2.00	1.83	1.85	50300	1.85	1090393260000
DIOD	23.09	23.70	22.77	23.20	252300	10.31	1081839660000
DLIA	8.80	8.89	8.68	8.82	296500	8.82	1176706860000
DFZ	6.25	6.25	6.25	6.25	1000	5.96	1156402860000
DXPE	1.38	1.38	1.38	1.38	8000	0.69	969951660000
DANKY	26.88	28.86	26.88	27.93	1943400	27.55	838364460000
DENN	0.89	0.90	0.89	0.90	11200	0.90	1018508460000
DEIX	8.99	9.03	8.97	9.00	98700	9.00	1182150060000
DGAS	23.86	23.86	22.68	23.03	3300	22.47	1245135660000
DXYN	4.31	4.43	4.31	4.37	12700	4.30	829551660000
DATA	3.02	3.09	2.90	2.98	10000	2.98	1193209260000
DGICA	21.70	21.80	20.97	21.08	26700	10.39	1087974060000
DJCO	39.00	46.00	36.00	39.90	600	39.90	1222671660000
DAIO	3.00	3.25	3.00	3.25	9800	3.25	744361260000
DLPX	2.75	2.75	2.75	2.75	23000	2.75	733651260000
DUSA	5.94	6.25	5.87	6.00	35800	6.00	865234860000
DGICB	12.13	12.50	11.75	12.25	9500	5.10	923641260000
DCGN	2.85	3.10	2.81	2.85	181400	2.85	1060153260000
DGICA	18.96	19.60	18.95	19.00	46600	17.34	1147417260000
DRRX	2.36	2.45	2.34	2.43	544500	2.43	1061362860000
DCOM	11.79	11.85	11.55	11.74	120900	11.61	1263542460000
DSPG	25.81	25.81	25.30	25.35	151600	25.35	1082012460000
DGAS	23.79	25.02	23.79	24.81	4000	22.14	1188543660000
DTV	22.50	22.65	22.38	22.55	9400300	22.55	1164700860000
